X,Y,X,Y,id,gridarea,buildingfootprintarea,percentbuilt,join_Point_X,join_Point_Y,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley
22126.2004027079,30590.1047043347,103.78054,1.29292,"4654",399.99966,115.62358,28.90592,103.78046,1.29296,0.07192,44.67898,Zone 2,,Temparea,Valley
22146.2336771724,30629.9112482973,103.78072,1.29328,"4725",399.99966,142.63523,35.65884,103.78065,1.29324,0.00000,56.56224,Zone 2,,Temparea,Valley
22146.2332646903,30610.0077684127,103.78072,1.29310,"4726",399.99966,121.50921,30.37733,103.78053,1.29309,2.94326,50.39010,Zone 2,,Temparea,Valley
22146.2328522655,30590.1042885564,103.78072,1.29292,"4727",399.99966,115.33053,28.83266,103.78053,1.29309,0.00000,47.36876,Zone 2,,Temparea,Valley
22146.2324398982,30570.2008087284,103.78072,1.29274,"4728",399.99966,164.53801,41.13454,103.78053,1.29309,2.61686,46.08559,Zone 2,,Temparea,Valley
22146.2320275882,30550.2973289288,103.78072,1.29256,"4729",399.99966,102.33838,25.58462,103.78046,1.29296,1.58736,45.81679,Zone 2,,Temparea,Valley
22146.2316153357,30530.3938491575,103.78072,1.29238,"4730",399.99966,229.88046,57.47016,103.78090,1.29225,0.00000,45.89447,Zone 2,,Temparea,Valley
22146.2299668996,30450.7799303552,103.78072,1.29166,"4734",399.99966,34.18126,8.54532,103.78114,1.29143,4.19672,39.75735,Zone 2,,Temparea,Valley
22146.2295320489,30429.7707018579,103.78072,1.29147,"4735",399.99966,114.17340,28.54337,103.78080,1.29142,1.88886,39.26851,Zone 2,,Temparea,Valley
22166.2657127788,30610.0073539968,103.78090,1.29310,"4799",399.99966,87.27634,21.81910,103.78065,1.29324,4.92567,56.11120,Zone 2,,Temparea,Valley
22166.265301765,30590.1038741982,103.78090,1.29292,"4800",399.99966,93.84924,23.46233,103.78065,1.29324,0.00000,53.38497,Zone 2,,Temparea,Valley
22166.2648908085,30570.2003944278,103.78090,1.29274,"4801",399.99966,53.88724,13.47182,103.78098,1.29268,6.35453,51.05653,Zone 2,,Temparea,Valley
22166.2644799092,30550.2969146858,103.78090,1.29256,"4802",399.99966,188.18158,47.04543,103.78090,1.29225,1.89306,50.55199,Zone 2,,Temparea,Valley
22166.264069067,30530.3934349721,103.78090,1.29238,"4803",399.99966,340.21752,85.05445,103.78090,1.29225,0.00000,50.33760,Zone 2,,Temparea,Valley
22166.2636582821,30510.4899552868,103.78090,1.29220,"4804",399.99966,354.77287,88.69329,103.78090,1.29225,0.00000,48.44657,Zone 2,,Temparea,Valley
