X,Y,buildingfootprintarea,percentbuilt,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley,distToTree,distToWalkway,distToRoad,distToPath,distToCourtTrack,distToCarpark,id,gridarea,roadarea,percentroad,patharea,percentpath,walkwayarea,percentwalkway,courttrackarea,percentcourttrack,carparkarea,percentcarpark,numtrees
20925.3672263441,30629.939189327,196.4921,49.12309,2.37444,14.87433,Zone 4,,Temparea,Valley,15.824930305246,56.7164317779061,64.4598985427065,29.2776648944227,31.9544956540535,92.3251897387376,"272",399.9995,,,,,,,,,,,"0"
20925.3667278584,30610.0357055561,46.79927,11.69983,5.08275,14.4437,Zone 4,,Temparea,,5.19701184741525,76.0589667684058,84.0081480503249,30.0045274332909,49.0775646332217,104.216645568814,"273",399.9995,,,,,,,,,,,"2"
20945.411184147,31089.9303195044,,,34.63024,31.50262,Zone 1,,,,10.7339107228509,109.287559592774,30.2677244716172,47.0556937054427,412.224034832876,16.3767352757861,"322",399.99951,,,,,,,,,,,"1"
20945.4106854736,31070.0268351474,,,20.28808,31.85729,Zone 1,,,,11.2769595409,89.4891568284323,18.9229146792074,65.7519460479256,392.456173140991,13.430254751635,"323",399.99951,,,,,,,,,,,"0"
20945.4101868695,31050.1233508189,2.06184,0.51546,11.648,31.50355,Zone 1,,,,16.1705702858801,69.7505919897436,21.7447373953058,84.4612373623023,372.702747757803,21.7737664276447,"324",399.99951,,,,,,,,,,,"0"
20945.4096883345,31030.2198665187,94.09436,23.52362,4.91746,31.02782,Zone 1,,,,18.1750133708772,50.1425802834728,35.2772872624954,103.240845203944,352.966182430511,39.4983473020732,"325",399.99951,,,,,,,,,,,"0"
20945.4091898686,31010.316382247,4.69549,1.17387,11.06605,29.50997,Zone 1,,,,21.8209088193805,30.9145436678321,40.1066973339569,121.971791339864,333.249472757695,58.5702936122791,"326",399.99951,,,,,,,,,,,"0"
20945.408691472,30990.4128980037,,,29.89952,25.21178,Zone 1,,,,7.5486360504922,13.7636128118697,21.5801931641422,103.508823571489,313.556364381117,77.7741386866423,"327",399.99951,,,,,,,,,,,"2"
20945.4081931445,30970.5094137888,,,48.73299,22.61009,Zone 1,,,,1.20431901224892,5.77124439114437,7.77198947070866,83.6337951616155,293.891601765057,97.2226570839561,"328",399.99951,46.2831873635658,11.570811015135,,,46.6884675774482,11.6721311927228,,,,,"2"
20945.4076948862,30950.6059296023,,,46.42902,21.91929,Zone 1,,,,11.5545633203256,10.1837835176928,0,63.7765176246056,274.26128221511,116.824530008266,"329",399.99951,325.865071699629,81.4663677212077,,,2.96739876337695,0.741850599611223,,,,,"0"
20945.4051769727,30849.9827599828,90.62647,22.65665,2.84487,20.2393,Zone 4,,,,1.93907700950573,38.2003513564609,15.0179794515249,35.9447085827182,175.961073829187,40.0936927416145,"334",399.99951,,,,,,,,,,,"10"
20945.4046791333,30830.0792759682,156.32262,39.0807,0,19.96222,Zone 4,,,Valley,10.1069516198949,24.1826758410599,2.15096269328566,26.863982959539,156.863026257068,31.1712930394054,"335",399.99951,97.1553549407853,24.2888684890602,,,,,,,,,"3"
20945.4041813631,30810.175791982,,,14.97747,20.02801,Zone 4,,,,7.07056963332442,12.2951261293692,2.63872507961367,17.3549903400508,137.970273750026,20.2873285881267,"336",399.99951,143.891331214636,35.9728768704331,,,0.723610025078651,0.180902727875504,,,,,"4"
20945.403683662,30790.2723080241,9.25657,2.31415,9.89986,19.55199,Zone 4,,,,4.23308884003474,0.516851246406403,6.34623537668779,10.5200460787218,119.406370154558,18.2176726508809,"337",399.99951,54.9750583262339,13.7437814176907,6.09505430384119,1.52376544257297,36.2002955562016,9.0500849754045,,,,,"6"
20945.4031860302,30770.3688240946,51.61023,12.90257,5.54118,18.65587,Zone 4,,,,2.59534566514531,4.79935152956303,0,6.68724988445481,101.352175051515,18.554324372303,"338",399.99951,170.805611748768,42.7014552464747,21.5191581329172,5.37979612347956,42.0165026658275,10.5041385340266,,,,,"4"
20945.4026884675,30750.4653401934,109.13245,27.28315,0,18.43044,Zone 4,,,Valley,14.6579251559199,0,3.17782269787472,20.54257036772,84.1364540362318,9.40429613065023,"339",399.99951,122.655905120794,30.6640138436155,,,120.442042399216,30.1105474852247,,,1.6599931906054,0.414998806024888,"0"
20945.402190974,30730.5618563206,198.94035,49.73515,1.52213,17.84793,Zone 4,,,Valley,23.5529013660587,5.13491252758701,10.700378953337,39.6945979576539,68.3953197264215,22.4132793489806,"340",399.99951,4.92840780829713,1.23210346140102,,,68.409084584246,17.1022920963693,,,,,"0"
20945.4016935497,30710.6583724762,253.19242,63.29818,0,17.77776,Zone 4,,Temparea,Valley,29.1254599262365,12.8069643876389,18.5039730550359,47.1700920339192,55.4003066087799,35.4927730817274,"341",399.99951,,,,,,,,,,,"0"
20945.4011961945,30690.7548886601,271.53812,67.88461,0,18.65892,Zone 4,,Temparea,Valley,18.3266550490819,19.9104557591764,19.4123905734225,33.5046683604053,46.0012822918201,44.2370704649986,"342",399.99951,,,,,,,,,,,"0"
20945.4006712836,30669.7456557738,74.08657,18.52167,3.62539,17.75491,Zone 4,,Temparea,Valley,2.0894064090204,33.645634950866,29.3500802910283,17.1403013526794,38.9447112669355,55.6356390243689,"343",399.99951,,,,,,,,,,,"2"
20945.4001740706,30649.842172016,58.69757,14.67441,1.11128,16.92973,Zone 4,,Temparea,Valley,9.09290912378217,48.7198422650902,44.8672278884758,2.56420618862488,40.0773036054849,64.4242821877376,"344",399.99951,,,17.2772034439268,4.31930615213174,,,,,,,"1"
20945.3996769269,30629.9386882865,228.05469,57.01374,0,15.82204,Zone 4,,Temparea,Valley,16.1093243786023,65.0998355520285,62.3866704331974,11.3618889808542,47.0277530264365,76.2169351112221,"345",399.99951,,,6.00368003446752,1.50092184724614,,,,,,,"0"
20945.3991798523,30610.0352045853,180.81848,45.20468,0,15.37545,Zone 4,,Temparea,Valley,5.74038623899878,82.4997057213012,81.0081734675743,11.4428323223299,60.0776678785057,88.720847411373,"346",399.99951,,,1.72187087225714,0.430468245387886,,,,,,,"3"
20945.3986828468,30590.1317209125,64.98108,16.24529,6.57381,15.61618,Zone 4,,Temparea,,3.08780107429824,100.83011269571,99.9867387046745,27.651921303514,76.1533986760085,102.173375709407,"347",399.99951,,,,,,,,,,,"5"
20965.4511245047,31390.6935843068,,,29.99849,33.99783,Zone 1,,,,1.91157854218692,13.9039539060086,7.34599007047934,47.4955005454072,257.072507159021,17.6866762335865,"380",399.99951,53.9319253501964,13.4829978542215,,,,,,,,,"2"
20965.4506262047,31370.7900995894,,,23.61523,35.00659,Zone 1,,,,12.050596642631,7.62491576417916,1.09727692540315,45.5233688546198,262.560526056721,11.4226935721701,"381",399.99951,135.33838922694,33.8346387541675,,,17.868037403637,4.46701482300241,,,,,"0"
20965.4501002962,31349.7808657519,,,27.84465,36.3995,Zone 1,,,,11.0272276927693,5.78650937060238,0,25.0709305895194,269.250623592912,13.0904465311049,"382",399.99951,140.288565356531,35.0721843025585,,,13.8670203146878,3.46675932545214,,,,,"0"
20965.4496021379,31329.8773810931,,,25.51821,38.35206,Zone 1,,,,12.2831263625952,5.23570670826213,0,8.66155264600032,276.913011895672,14.2905866728301,"383",399.99951,193.041732235808,48.2604921780549,6.57523107161584,1.64380978157094,10.812814065762,2.70320682786886,,,,,"0"
20965.4491040487,31309.9738964627,,,21.33423,39.36771,Zone 1,,,,13.9607002287373,3.40219573961466,0,13.5700714802877,285.758694303846,9.01418812150948,"384",399.99951,131.047299112494,32.761864911408,0.0290613404532874,0.00726534401336828,34.9912062925693,8.74781228921237,,,24.2803631491747,6.07009822316401,"0"
20965.4486060285,31290.0704118607,,,21.51928,39.64122,Zone 1,,,,11.4835750996273,1.54079622166173,0,31.4618902030791,295.681490697595,7.85240040913476,"385",399.99951,131.853108095874,32.9633174040324,,,35.7709599616191,8.94275094527468,,,47.1836323454105,11.7959225363577,"1"
20965.4481080772,31270.1669272873,,,27.32869,39.30578,Zone 1,,,,12.6043430724671,0,0.273067347483999,50.8709310445194,306.576831914059,11.5526749956715,"386",399.99951,144.694673694639,36.1737127364578,,,98.6852703280948,24.6713478044248,,,4.63610974071796,1.15902885498984,"0"
20965.4476101949,31250.2634427423,,,17.62962,38.60966,Zone 1,,,,16.6451062329471,10.1707224675839,0,70.5560068821058,318.344877676357,26.2966502871854,"387",399.99951,282.078985279232,70.5198327066031,,,0.887617016157405,0.221904525872395,,,,,"0"
20965.4471123816,31230.3599582257,130.27138,32.56788,0,37.18948,Zone 1,,,Valley,20.7768115125495,29.7744332475568,4.03861847146906,62.1594383328941,330.892529028238,37.2642296939319,"388",399.99951,137.289680568263,34.322462187082,,,,,,,,,"0"
20965.4466146372,31210.4564737376,64.10457,16.02616,6.3026,35.51246,Zone 1,,,,3.69575983057407,49.5923247039364,0,43.7008349274661,344.13451982453,17.4294251333463,"389",399.99951,266.363272586203,66.5908997204028,,,,,,,,,"1"
20965.4461169619,31190.5529892779,,,14.73134,34.31665,Zone 1,,,,7.2632593241358,69.4591811747516,1.87904397357622,26.3333379131548,357.993808666835,0,"390",399.99951,148.79263283621,37.1982037768521,,,,,,,155.670951588521,38.9177855714177,"2"
20965.4456193555,31170.6495048467,,,21.47274,33.3513,Zone 1,,,,11.2712285290326,89.3423438890257,14.4450887578461,14.6840480836463,372.401481858143,0,"391",399.99951,,,,,,,,,290.958465985984,72.7397056026355,"0"
20965.4451218181,31150.7460204439,,,28.10376,33.0174,Zone 1,,,,9.19751552523052,109.23290874325,24.8594918441987,3.91000974217202,387.296343476837,2.57375263324971,"392",399.99951,,,46.676585412995,11.6691606479705,,,,,147.164062289024,36.7910606413052,"1"
20965.4445967146,31129.7367869385,,,29.26655,33.54785,Zone 1,,,,5.10245694926138,130.232787794751,43.0798689574233,2.7926346161936,403.487596525682,4.72335421147465,"393",399.99951,,,48.4208144999172,12.1052184538719,,,,,83.1822049371034,20.7955767088573,"3"
20965.444099319,31109.8333025942,,,22.52482,34.32609,Zone 1,,,,7.58273813558236,124.038974319443,43.5311808652961,21.4888865084661,419.221237184328,0,"394",399.99951,,,,,,,,,206.885399597308,51.7214132580582,"1"
20965.4436019924,31089.9298182783,,,15.79611,34.78889,Zone 1,,,,6.70620743857643,106.796138107277,23.7168240341479,40.2738529689023,414.979480543604,0,"395",399.99951,,,,,,,,,244.456824990412,61.1142811125973,"2"
20965.4431047348,31070.0263339908,,,12.21971,34.83486,Zone 1,,,,8.75900468420972,90.6502093291458,3.90246722475682,59.0047987110628,395.349418149924,0,"396",399.99951,60.8055998360871,15.2014185807595,,,,,,,186.680055123548,46.6700709517238,"4"
20965.4426075461,31050.1228497318,244.06709,61.01685,0,34.29014,Zone 1,,,Valley,10.2429297891367,75.3195021911219,8.85297682650833,77.7357444031053,375.748124406604,15.9118895627768,"397",399.99951,31.0261187950072,7.75653920051232,,,,,,,,,"1"
20965.4421104264,31030.2193655011,399.99951,100,0,33.28134,Zone 1,,,Valley,9.07191014591128,57.6381882971177,24.6068959354982,96.5614861228598,356.180348923834,35.7732693126668,"398",399.99951,,,,,,,,,,,"1"
20965.4416133758,31010.3158812989,108.12383,27.03099,4.3355,32.50248,Zone 1,,,,6.5121137363592,41.9951362112666,40.3176618018867,115.722408723236,336.651936458888,55.6647145012051,"399",399.99951,,,,,,,,,,,"1"
20965.441116394,30990.4123971251,,,23.16897,27.18121,Zone 1,,,,12.7160560460039,26.914948522887,28.4158992319729,103.948347641886,317.170157924135,75.5625002688196,"400",399.99951,,,,,,,,,,,"0"
20965.4406194813,30970.5089129797,,,36.61442,22.84616,Zone 1,,,,5.36629044831826,7.3955731501709,8.90845858292672,84.0682668151142,297.744167406278,95.4626618791329,"401",399.99951,26.0727398146468,6.51819293844804,,,29.6656371871771,7.41641838190679,,,,,"6"
20965.4401226376,30950.6054288627,,,26.69363,22.1851,Zone 1,,,,3.0102171004834,9.36372751718796,0,64.1881860200507,278.385643952092,101.086528823349,"402",399.99951,327.773214995253,81.9434041294834,,,14.9374646099785,3.73437072709877,,,,,"3"
20965.4396258628,30930.701944774,,,29.4078,21.5579,Zone 4,,,,0.343448863835291,7.79305853401992,10.5527989497877,44.3081052565993,259.109709730569,89.3567436634286,"403",399.99951,3.85220976968926,0.963053622163001,,,17.2754654079222,4.31887164259831,,,,,"2"
20965.439129157,30910.7984607138,,,29.59925,20.3236,Zone 4,,,,2.53980645879794,26.3760432954643,29.512429621099,24.428024524961,239.936270653893,80.435658449415,"404",399.99951,,,,,,,,,,,"4"
20965.4386049313,30889.7892275699,8.05766,2.01442,9.71773,20.51659,Zone 4,,,,5.40379314594718,45.5420289270506,49.4752656003846,3.44349489814069,219.831062930252,61.5937186925035,"405",399.99951,,,42.5904250916897,10.6476193162561,,,,,,,"2"
20965.4381083673,30869.885743568,323.07223,80.76816,0,21.55287,Zone 4,,,Valley,8.58297883218903,48.9714308254572,42.6064148022601,10.7227906876657,200.944250327208,42.8901465751871,"406",399.99951,,,,,,,,,,,"5"
20965.4376118723,30849.9822595945,275.88408,68.9711,0,23.40183,Zone 4,,,Valley,7.18599396652159,47.8554163337371,28.1775840733507,20.7513289337512,182.27392742847,25.987690390754,"407",399.99951,,,,,,,,,,,"4"
20965.4371154462,30830.0787756494,273.31058,68.32773,0,23.44815,Zone 4,,,Valley,5.17872838749086,40.1240035157164,21.2133210830649,9.45537400161437,163.894096499978,12.8889666753702,"408",399.99951,,,12.4693427795329,3.11733951362412,,,,,0.0176437038261782,0.00441093135993545,"8"
20965.4366190892,30810.1752917326,57.6879,14.42199,0,23.23345,Zone 4,,,Valley,2.72103619904459,28.3643735949184,18.5501186217825,0,145.914572535472,4.9512396738323,"409",399.99951,,,33.5845185486187,8.39613992242607,,,,,90.5891505433458,22.6473153787978,"10"
20965.4361228011,30790.2718078442,42.8446,10.71116,6.90676,22.94907,Zone 4,,,,4.09079312093122,17.180787388538,23.3070006384653,6.70015505889306,128.503491971267,0,"410",399.99951,,,36.8059955606219,9.20151016200543,,,,,234.124176853478,58.5311159139864,"2"
20965.435626582,30770.3683239843,1.58679,0.3967,10.86001,22.80558,Zone 4,,,,3.16637932441834,11.397444084107,18.8817099941419,10.5679513783663,111.92644806293,0.130571186576023,"411",399.99951,,,2.00380859002062,0.500952761172288,,,,,200.871133153609,50.2178448052622,"2"
20965.4351304319,30750.4648401526,67.54985,16.88748,4.06499,22.56001,Zone 4,,,,4.58285478016686,13.9153787080619,21.3289587646357,21.983755437452,96.6137125685927,0,"412",399.99951,,,,,,,,,154.56386491783,38.6410135646992,"4"
20965.4346343508,30730.5613563492,222.44029,55.61014,0,21.46424,Zone 4,,Temparea,Valley,21.989241969026,23.6123501325048,24.136593757827,40.3604585177155,83.26575818643,9.81640130031789,"413",399.99951,,,,,,,,,15.134286273492,3.78357620325384,"0"
20965.4341383386,30710.6578725743,149.29524,37.32386,0,21.15491,Zone 4,,Temparea,Valley,14.8529977016277,31.291385006755,7.52713090214606,38.2434383549544,72.9029676085398,17.0223529337946,"414",399.99951,45.1650150648834,11.2912675980237,,,,,,,,,"0"
20965.4336423955,30690.7543888277,165.27213,41.31808,0,20.26315,Zone 4,,Temparea,Valley,9.30421359586498,39.1462223163262,0.589482754250461,19.6192024766907,63.9710091484879,30.1690111024729,"415",399.99951,99.3359078066649,24.8340073733252,,,,,,,,,"1"
20965.4331189747,30669.7451560148,107.88941,26.97239,1.072,20.09497,Zone 4,,Temparea,Valley,9.47190714923906,47.9551824070782,18.0277962931668,8.98825094284943,58.8947503361334,36.9940497337605,"416",399.99951,,,5.7931012090989,1.44827707641414,,,,,,,"1"
